discipline,nbr_epreuves
athletisme,11
aviron,4
badminton,4
basketball,2
basketball-3x3,1
boxe,7
breaking,2
canoe-slalom,5
canoe-sprint,3
cyclisme-bmx-freestyle,1
cyclisme-bmx-racing,1
cyclisme-mountain-bike,2
cyclisme-sur-piste,7
cyclisme-sur-route,3
escalade-sportive,4
escrime,9
football,3
golf,2
gymnastique-artistique,7
gymnastique-rythmique,2
halterophilie,5
handball,2
hockey-sur-gazon,2
judo,8
lutte,6
natation,9
natation-synchronisee,2
marathon-de-natation,2
pentathlon-moderne,2
plongeon,8
rugby-a-7,2
skateboarding,4
sports-equestres,5
surf,1
taekwondo,4
tennis,3
tennis-de-table,5
tir,10
tir-a-l-arc,5
trampoline,1
triathlon,3
voile,5
volleyball,3
beach-volley,2
water-polo,2
